election_id,party_id,list_number,name
701,00001,1.0,HALILOVIĆ SEFER
701,01182,1.0,RADONČIĆ FAHRUDIN
701,01190,1.0,BAJRAMOVIĆ DŽEBRAIL
701,00008,1.0,HADŽIOMEROVIĆ BAKIR
701,00090,1.0,IZETBEGOVIĆ BAKIR
701,01698,1.0,SULJAGIĆ EMIR
702,00027,1.0,ČOVIĆ DRAGAN
702,01721,1.0,BUDIMIR ŽIVKO
702,01698,1.0,POPOVIĆ ANTO
702,00769,1.0,RAGUŽ MARTIN
703,01739,1.0,ИВАНИЋ МЛАДЕН
703,01708,1.0,ЗМИЈАЊАЦ ГОРАН
703,01748,1.0,ЦВИЈАНОВИЋ ЖЕЉКА
511,01754,1.0,DOLIĆ RIFAT
511,01754,2.0,DOŠENOVIĆ VERA
511,01754,3.0,SMOLJO ANTO
511,01754,4.0,VELADŽIĆ AMRA
511,01754,5.0,MUSTAFIĆ SEJFO
511,01754,6.0,PERKIĆ NEVENA
511,01754,7.0,BORIĆ MUHAMED
511,01754,8.0,ŠABANAGIĆ SABINA
511,00882,1.0,EMRIĆ JASMIN
511,00882,2.0,VELIĆ DŽENITA
511,00882,3.0,HADŽIĆ NEDŽAD
511,00882,4.0,RUBIN DILKA
511,00882,5.0,KALJIKOVIĆ ŠERIF
511,00882,6.0,ĆORALIĆ HARIS
511,00882,7.0,MAHIĆ MEMNUNA
511,00882,8.0,SULJKANOVIĆ SAMIR
511,00001,1.0,HAJDAROVIĆ ESAD
511,00001,2.0,ŠEPIĆ JASMINA
511,01755,1.0,KROLO IVAN
511,00515,1.0,РОДИЋ ЗОРА
511,00515,2.0,ТАДИЋ НИКОЛА
511,00515,3.0,ДРАГАШ ДУЊА
511,01687,1.0,ĆORALIĆ NIJAZ
511,01687,2.0,ALAGIĆ SAMIRA
511,01182,1.0,HARBAŠ AMIR
511,01182,2.0,KOMIĆ EMIRA
511,01182,3.0,DEDIĆ MIDHAT
511,01182,4.0,REDŽIĆ ALMIR
511,01182,5.0,ISLAMOVIĆ NERMINA
511,01182,6.0,SMAILOVIĆ AZEMA
511,01182,7.0,MUJADŽIĆ SEMIR
511,01182,8.0,MRŽLJAK KEMAL
511,01190,1.0,BAJRIĆ SENAD
511,01701,1.0,ABDIĆ JELENOVIĆ ELVIRA
511,01701,2.0,MUHAMEDAGIĆ HARIS
511,00008,1.0,LIPOVAČA HAMDIJA
511,00008,2.0,ĆEMALOVIĆ NERMINA
511,00008,3.0,TRNINIĆ STEVO
511,00008,4.0,SULJIĆ SULJO
511,00008,5.0,BEGATOVIĆ JASMINA
511,00008,6.0,JUKIĆ HUSKA
511,00008,7.0,DOLUŠIĆ ANA
511,00008,8.0,KAMENJAŠEVIĆ IBRAHIM
511,00036,1.0,MURATOVIĆ HASE
511,00090,1.0,ŠEPIĆ SENAD
511,00090,2.0,MUSIĆ EMINA
511,00090,3.0,DEDIĆ ŠEMSUDIN
511,00090,4.0,AVDIĆ AMIR
511,00090,5.0,ALDŽIĆ MAIDA
511,00090,6.0,MULIĆ MERIMA
511,01698,1.0,MUJADŽIĆ RUSMIR
511,01698,2.0,ROBOVIĆ IVANA
511,01698,3.0,ZULIĆ EMSUD
511,01698,4.0,BEĆIRSPAHIĆ DINKO
