party_id,name
00001,BPS-SEFER HALILOVIĆ 
01004,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE 
01177,STRANKA ZA NAROD BOSNE I HERCEGOVINE 
01178,HSP DR. ANTE STARČEVIĆ BIH 
01182,SBB - FAHRUDIN RADONČIĆ 
01188,POSAVSKA STRANKA 
01190,STRANKA DIJASPORE BOSNE I HERCEGOVINE 
01200,СРПСКА НАПРЕДНА СТРАНКА - СНС 
01254,NOVI POKRET BIH 
01268,STRANKA ZA EVROPSKO SARAJEVO-SES 
01270,HSS STJEPANA RADIĆA 
01276,KOMUNISTIČKA PARTIJA 
01451,СТОЈАНОВИЋ МИЛКО – НЕЗАВИСНИ КАНДИДАТ 
01466,ТАДИЋ АЛЕКСАНДАР – НЕЗАВИСНИ КАНДИДАТ 
01482,ALEKSIĆ MARKO – NEOVISNI KANDIDAT 
01506,PROLETA VJEKOSLAV – NEOVISNI KANDIDAT 
01687,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS 
01688,TUZLIĆ HALIL – NEZAVISNI KANDIDAT 
01690,KEBO MIRSAD – NEZAVISNI KANDIDAT 
01691,CERIĆ MUSTAFA – NEZAVISNI KANDIDAT 
01692,LAVIĆ HARIS – NEZAVISNI KANDIDAT 
01693,AGIĆ SUAD – NEZAVISNI KANDIDAT 
01694,"СТРАНКА ""НОВА СРПСКА"" - НС "
01698,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ 
01699,PRVA STRANKA 
01701,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH 
01702,ЗА ПРАВДУ И РЕД-ЛИСТА НЕБОЈШЕ ВУКАНОВИЋА 
01703,HRVATSKA NEZAVISNA LISTA - HNL 
01704,SLOŽNA NARODNA STRANKA 
01705,HRS-HRVATSKA REPUBLIKANSKA STRANKA 
01707,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA 
01708,СТРАНКА ПРАВЕДНЕ ПОЛИТИКЕ 
01709,STRANKA ZA BOLJE GORAŽDE 
01710,ВУКИЋ ТОМО – НЕЗАВИСНИ КАНДИДАТ 
01711,DOS DEMOKRATSKA OBITELJSKA STRANKA 
01712,ВУКОВИЋ СЛАВКО – НЕЗАВИСНИ КАНДИДАТ 
01713,НЕШКОВИЋ МЛАДЕН – НЕЗЕВИСНИ КАНДИДАТ 
01714,HRVATSKI SAVEZ HKDU - HRAST 
01715,МАРКОВИЋ ВЛАДАН – НЕЗАВИСНИ КАНДИДАТ 
01717,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE 
01718,НАРОДНИ ДЕМОКРАТСКИ ПОКРЕТ 
01720,AZINOVIĆ DAMIR – NEOVISNI KANDIDAT 
01721,STRANKA PRAVDE I POVJERENJA 
01722,СНАГА НАРОДА 
01723,SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE 
01724,DEVIĆ SLOBODAN – NEZAVISNI KANDIDAT 
01725,IMAMOVIĆ-ARIFOVIĆ AMELA – NEZAVISNI KANDIDAT 
01726,ČENAJ PETRIT – NEZAVISNI KANDIDAT 
01727,HASIĆ DERVIŠ – NEZAVISNI KANDIDAT 
01728,LIBERALNA STRANKA  - LS BIH 
01729,SINANOVIĆ MERIMA – NEZAVISNI KANDIDAT 
01731,PRELJEVIĆ NEDIM – NEZAVISNI KANDIDAT 
01732,ДЕУРИЋ ЂОРЂЕ – НЕЗАВИСНИ КАНДИДАТ 
01733,KAMENČIĆ AIDA – NEZAVISNI KANDIDAT 
01734,BEŠIĆ SENAD – NEZAVISNI KANDIDAT 
01735,DOMOVINA 
01736,A-SDA-KSPP ZAJEDNO ZA USK 
01737,PRAVAŠKO SELJAČKI SAVEZ (HSP BIH-HSS STJEPANA RADIĆA) 
01738,HSP BIH - HSS STJEPANA RADIĆA 
01739,САВЕЗ ЗА ПРОМЈЕНЕ 
01740,СРПСКА ДЕМОКРАТСКА СТРАНКА-СДС/ПЕНЗИОНЕРИ-ПУП/РАДИКАЛИ-СРС РС 
01741,ДНС-ДЕМОКРАТСКИ НАРОДНИ САВЕЗ - НС - СРС 
01742,ПДП-НДП 
01743,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE "
01744,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE "
01745,БОРЦИ ЗА НОВУ ПОЛИТИКУ 
01746,KOALICIJA ZA PROMJENE SNS-NDP 
01747,СНСД-СП 
01748,СНСД-ДНС-СП 
01749,SDU-LDS SOCIJALDEMOKRATSKA UNIJA LIBERALNODEMOKRATSKA STRANKA 
01750,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS) 
01751,ZAJEDNO ZA PROMJENE (SPP-DNZ-SP/U) 
01752,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS) 
01753,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS) 
01754,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ) 
01755,SNAGA BIH - HSP BIH-DSI 
01756,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS) 
01757,HSP BIH-DSI 
01758,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS) 
00018,СДС-СРПСКА ДЕМОКРАТСКА СТРАНКА 
00027,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE 
00032,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE 
00036,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ 
00004,STRANKA ZA BOSNU I HERCEGOVINU 
00440,ПДП- ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА 
00461,ДНС-ДЕМОКРАТСКИ НАРОДНИ САВЕЗ 
00502,NARODNA STRANKA RADOM ZA BOLJITAK 
00515,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК 
00520,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS 
00073,SELJAČKA STRANKA 
00730,SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE 
00074,СОЦИЈАЛИСТИЧКА ПАРТИЈА 
00769,HRVATSKA DEMOKRATSKA ZAJEDNICA 
00776,ŽIGIĆ ADIL – NEZAVISANI KANDIDAT 
00008,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH 
