municipality_ID,municipality_name
001,Velika Kladusa
002,Cazin
003,Bihac
004,Bosanska Krupa
005,Buzim
006,Krupa Na Uni
007,Novi Grad
008,Kozarska Dubica
009,Prijedor
010,Gradiska
011,Laktasi
012,Srbac
013,Prnjavor
014,Derventa
016,Brod
017,Odzak
018,Vukosavlje
020,Domaljevac-samac
021,Samac
022,Orasje
023,Donji Zabar
024,Modrica
025,Gradacac
026,Pelagicevo
029,Bijeljina
030,Bosanski Petrovac
031,Petrovac
032,Sanski Most
033,Ostra Luka
034,Banja Luka
035,Celinac
036,Doboj Istok
037,Doboj Jug
038,Doboj
039,Tesanj
042,Maglaj
044,Gracanica
045,Petrovo
047,Lukavac
049,Srebrenik
050,Tuzla
052,Celic
054,Lopare
055,Teocak
056,Ugljevik
057,Drvar
058,Istocni Drvar
059,Kljuc
061,Ribnik
064,Mrkonjic Grad
065,Jajce
066,Jezero
067,Dobretici
068,Knezevo
070,Kotor Varos
074,Teslic
075,Zepce
077,Zavidovici
078,Banovici
079,Zivinice
080,Kalesija
081,Osmaci
082,Sapna
083,Zvornik
084,Bosansko Grahovo
085,Glamoc
088,Sipovo
089,Donji Vakuf
091,Travnik
093,Zenica
094,Kakanj
095,Vares
096,Olovo
098,Kladanj
101,Sekovici
103,Vlasenica
104,Bratunac
105,Srebrenica
106,Livno
107,Kupres (fbih)
108,Kupres (rs)
109,Bugojno
110,Gornji Vakuf - Uskoplje
111,Novi Travnik
112,Vitez
113,Busovaca
114,Fojnica
115,Kiseljak
116,Visoko
117,Breza
118,Ilijas
121,Sokolac
123,Han Pijesak
124,Tomislavgrad
125,Prozor-rama
126,Jablanica
127,Konjic
129,Kresevo
130,Hadzici
131,Ilidza
132,Istocna Ilidza
133,Novi Grad Sarajevo
135,Vogosca
136,Centar Sarajevo
137,Stari Grad Sarajevo
138,Istocni Stari Grad
139,Novo Srajevo
140,Istocno Novo Srajevo
141,Trnovo (fbih)
142,Trnovo (rs)
143,Pale (fbih)
144,Pale (rs)
146,Rogatica
147,Visegrad
148,Posusje
149,Grude
150,Siroki Brijeg
158,Istocni Mostar
161,Nevesinje
163,Kalinovik
164,Gacko
165,Foca (fbih)
166,Foca (rs)
167,Gorazde
168,Novo Gorazde
169,Cajnice
170,Rudo
171,Ljubuski
172,Citluk
173,Capljina
174,Neum
176,Stolac
177,Berkovici
179,Ljubinje
180,Bileca
181,Ravno
182,Trebinje
183,Usora
184,Kostajnica
185,Milici
200,Brcko Distrikt Bih
