municipality_ID,municipality_name,kanton,parliament_bih,parliament_fbih,parliament_rs,president_bih,president_rs_election
001,Velika Kladusa,201,511,401,,701,
002,Cazin,201,511,401,,701,
003,Bihac,201,511,401,,701,
004,Bosanska Krupa,201,511,401,,701,
005,Buzim,201,511,401,,701,
006,Krupa Na Uni,,521,,301,703,600
007,Novi Grad,,521,,301,703,600
008,Kozarska Dubica,,521,,301,703,600
009,Prijedor,,521,,301,703,600
010,Gradiska,,521,,301,703,600
011,Laktasi,,521,,301,703,600
012,Srbac,,521,,301,703,600
013,Prnjavor,,521,,301,703,600
014,Derventa,,522,,303,703,600
016,Brod,,522,,303,703,600
017,Odzak,202,515,402,,701,
018,Vukosavlje,,522,,303,703,600
020,Domaljevac-samac,202,515,402,,701,
021,Samac,,522,,304,703,600
022,Orasje,202,515,402,,701,
023,Donji Zabar,,522,,304,703,600
024,Modrica,,522,,303,703,600
025,Gradacac,203,515,402,,701,
026,Pelagicevo,,522,,304,703,600
029,Bijeljina,,522,,304,703,600
030,Bosanski Petrovac,201,511,401,,701,
031,Petrovac,,521,,302,703,600
032,Sanski Most,201,511,401,,701,
033,Ostra Luka,,521,,301,703,600
034,Banja Luka,,521,,302,703,600
035,Celinac,,521,,302,703,600
036,Doboj Istok,203,515,402,,701,
037,Doboj Jug,204,514,405,,701,
038,Doboj,,522,,303,703,600
039,Tesanj,204,514,405,,701,
042,Maglaj,204,514,405,,701,
044,Gracanica,203,515,402,,701,
045,Petrovo,,522,,303,703,600
047,Lukavac,203,515,403,,701,
049,Srebrenik,203,515,403,,701,
050,Tuzla,203,515,403,,701,
052,Celic,203,515,403,,701,
054,Lopare,,522,,304,703,600
055,Teocak,203,515,404,,701,
056,Ugljevik,,522,,304,703,600
057,Drvar,210,511,412,,701,
058,Istocni Drvar,,521,,302,703,600
059,Kljuc,201,511,401,,701,
061,Ribnik,,521,,302,703,600
064,Mrkonjic Grad,,521,,302,703,600
065,Jajce,206,514,408,,701,
066,Jezero,,521,,302,703,600
067,Dobretici,206,514,408,,701,
068,Knezevo,,521,,302,703,600
070,Kotor Varos,,521,,302,703,600
074,Teslic,,522,,303,703,600
075,Zepce,204,514,405,,701,
077,Zavidovici,204,514,405,,701,
078,Banovici,203,515,404,,701,
079,Zivinice,203,515,404,,701,
080,Kalesija,203,515,404,,701,
081,Osmaci,,523,,305,703,600
082,Sapna,203,515,404,,701,
083,Zvornik,,523,,305,703,600
084,Bosansko Grahovo,210,511,412,,701,
085,Glamoc,210,511,412,,701,
088,Sipovo,,521,,302,703,600
089,Donji Vakuf,206,514,408,,701,
091,Travnik,206,514,408,,701,
093,Zenica,204,514,405,,701,
094,Kakanj,204,514,406,,701,
095,Vares,204,514,406,,701,
096,Olovo,204,514,406,,701,
098,Kladanj,203,515,404,,701,
101,Sekovici,,523,,305,703,600
103,Vlasenica,,523,,305,703,600
104,Bratunac,,523,,305,703,600
105,Srebrenica,,523,,305,703,600
106,Livno,210,511,412,,701,
107,Kupres (fbih),210,511,412,,701,
108,Kupres (rs),,521,,302,703,600
109,Bugojno,206,514,408,,701,
110,Gornji Vakuf - Uskoplje,206,514,408,,701,
111,Novi Travnik,206,514,408,,701,
112,Vitez,206,514,408,,701,
113,Busovaca,206,514,408,,701,
114,Fojnica,206,514,408,,701,
115,Kiseljak,206,514,408,,701,
116,Visoko,204,514,406,,701,
117,Breza,204,514,406,,701,
118,Ilijas,209,513,411,,701,
121,Sokolac,,523,,305,703,600
123,Han Pijesak,,523,,305,703,600
124,Tomislavgrad,210,511,412,,701,
125,Prozor-rama,207,512,409,,701,
126,Jablanica,207,512,409,,701,
127,Konjic,207,512,409,,701,
129,Kresevo,206,514,408,,701,
130,Hadzici,209,513,407,,701,
131,Ilidza,209,513,407,,701,
132,Istocna Ilidza,,523,,305,703,600
133,Novi Grad Sarajevo,209,513,407,,701,
135,Vogosca,209,513,411,,701,
136,Centar Sarajevo,209,513,411,,701,
137,Stari Grad Sarajevo,209,513,411,,701,
138,Istocni Stari Grad,,523,,305,703,600
139,Novo Srajevo,209,513,411,,701,
140,Istocno Novo Srajevo,,523,,305,703,600
141,Trnovo (fbih),209,513,407,,701,
142,Trnovo (rs),,523,,305,703,600
143,Pale (fbih),205,513,407,,701,
144,Pale (rs),,523,,305,703,600
146,Rogatica,,523,,305,703,600
147,Visegrad,,523,,306,703,600
148,Posusje,208,512,410,,701,
149,Grude,208,512,410,,701,
150,Siroki Brijeg,208,512,410,,701,
158,Istocni Mostar,,523,,306,703,600
161,Nevesinje,,523,,306,703,600
163,Kalinovik,,523,,306,703,600
164,Gacko,,523,,306,703,600
165,Foca (fbih),205,513,407,,701,
166,Foca (rs),,523,,306,703,600
167,Gorazde,205,513,407,,701,
168,Novo Gorazde,,523,,306,703,600
169,Cajnice,,523,,306,703,600
170,Rudo,,523,,306,703,600
171,Ljubuski,208,512,410,,701,
172,Citluk,207,512,409,,701,
173,Capljina,207,512,409,,701,
174,Neum,207,512,409,,701,
176,Stolac,207,512,409,,701,
177,Berkovici,,523,,306,703,600
179,Ljubinje,,523,,306,703,600
180,Bileca,,523,,306,703,600
181,Ravno,207,512,409,,701,
182,Trebinje,,523,,306,703,600
183,Usora,204,514,405,,701,
184,Kostajnica,,521,,301,703,600
185,Milici,,523,,305,703,600
200,Brcko Distrikt Bih,,515,402,304,701,600
