municipality_ID,municipality_name,election_type,election_unit_id
001,Velika Kladusa,kanton,201
001,Velika Kladusa,president_bih,701
001,Velika Kladusa,parliament_fbih,401
001,Velika Kladusa,parliament_bih,511
002,Cazin,kanton,201
002,Cazin,president_bih,701
002,Cazin,parliament_fbih,401
002,Cazin,parliament_bih,511
003,Bihac,kanton,201
003,Bihac,president_bih,701
003,Bihac,parliament_fbih,401
003,Bihac,parliament_bih,511
004,Bosanska Krupa,kanton,201
004,Bosanska Krupa,president_bih,701
004,Bosanska Krupa,parliament_fbih,401
004,Bosanska Krupa,parliament_bih,511
005,Buzim,kanton,201
005,Buzim,president_bih,701
005,Buzim,parliament_fbih,401
005,Buzim,parliament_bih,511
006,Krupa Na Uni,president_bih,703
006,Krupa Na Uni,parliament_rs,301
006,Krupa Na Uni,president_rs,600
006,Krupa Na Uni,parliament_bih,521
007,Novi Grad,president_bih,703
007,Novi Grad,parliament_rs,301
007,Novi Grad,president_rs,600
007,Novi Grad,parliament_bih,521
008,Kozarska Dubica,president_bih,703
008,Kozarska Dubica,parliament_rs,301
008,Kozarska Dubica,president_rs,600
008,Kozarska Dubica,parliament_bih,521
009,Prijedor,president_bih,703
009,Prijedor,parliament_rs,301
009,Prijedor,president_rs,600
009,Prijedor,parliament_bih,521
010,Gradiska,president_bih,703
010,Gradiska,parliament_rs,301
010,Gradiska,president_rs,600
010,Gradiska,parliament_bih,521
011,Laktasi,president_bih,703
011,Laktasi,parliament_rs,301
011,Laktasi,president_rs,600
011,Laktasi,parliament_bih,521
012,Srbac,president_bih,703
012,Srbac,parliament_rs,301
012,Srbac,president_rs,600
012,Srbac,parliament_bih,521
013,Prnjavor,president_bih,703
013,Prnjavor,parliament_rs,301
013,Prnjavor,president_rs,600
013,Prnjavor,parliament_bih,521
014,Derventa,president_bih,703
014,Derventa,parliament_rs,303
014,Derventa,president_rs,600
014,Derventa,parliament_bih,522
016,Brod,president_bih,703
016,Brod,parliament_rs,303
016,Brod,president_rs,600
016,Brod,parliament_bih,522
017,Odzak,kanton,202
017,Odzak,president_bih,701
017,Odzak,parliament_fbih,402
017,Odzak,parliament_bih,515
018,Vukosavlje,president_bih,703
018,Vukosavlje,parliament_rs,303
018,Vukosavlje,president_rs,600
018,Vukosavlje,parliament_bih,522
020,Domaljevac-samac,kanton,202
020,Domaljevac-samac,president_bih,701
020,Domaljevac-samac,parliament_fbih,402
020,Domaljevac-samac,parliament_bih,515
021,Samac,president_bih,703
021,Samac,parliament_rs,304
021,Samac,president_rs,600
021,Samac,parliament_bih,522
022,Orasje,kanton,202
022,Orasje,president_bih,701
022,Orasje,parliament_fbih,402
022,Orasje,parliament_bih,515
023,Donji Zabar,president_bih,703
023,Donji Zabar,parliament_rs,304
023,Donji Zabar,president_rs,600
023,Donji Zabar,parliament_bih,522
024,Modrica,president_bih,703
024,Modrica,parliament_rs,303
024,Modrica,president_rs,600
024,Modrica,parliament_bih,522
025,Gradacac,kanton,203
025,Gradacac,president_bih,701
025,Gradacac,parliament_fbih,402
025,Gradacac,parliament_bih,515
026,Pelagicevo,president_bih,703
026,Pelagicevo,parliament_rs,304
026,Pelagicevo,president_rs,600
026,Pelagicevo,parliament_bih,522
029,Bijeljina,president_bih,703
029,Bijeljina,parliament_rs,304
029,Bijeljina,president_rs,600
029,Bijeljina,parliament_bih,522
030,Bosanski Petrovac,kanton,201
030,Bosanski Petrovac,president_bih,701
030,Bosanski Petrovac,parliament_fbih,401
030,Bosanski Petrovac,parliament_bih,511
031,Petrovac,president_bih,703
031,Petrovac,parliament_rs,302
031,Petrovac,president_rs,600
031,Petrovac,parliament_bih,521
032,Sanski Most,kanton,201
032,Sanski Most,president_bih,701
032,Sanski Most,parliament_fbih,401
032,Sanski Most,parliament_bih,511
033,Ostra Luka,president_bih,703
033,Ostra Luka,parliament_rs,301
033,Ostra Luka,president_rs,600
033,Ostra Luka,parliament_bih,521
034,Banja Luka,president_bih,703
034,Banja Luka,parliament_rs,302
034,Banja Luka,president_rs,600
034,Banja Luka,parliament_bih,521
035,Celinac,president_bih,703
035,Celinac,parliament_rs,302
035,Celinac,president_rs,600
035,Celinac,parliament_bih,521
036,Doboj Istok,kanton,203
036,Doboj Istok,president_bih,701
036,Doboj Istok,parliament_fbih,402
036,Doboj Istok,parliament_bih,515
037,Doboj Jug,kanton,204
037,Doboj Jug,president_bih,701
037,Doboj Jug,parliament_fbih,405
037,Doboj Jug,parliament_bih,514
038,Doboj,president_bih,703
038,Doboj,parliament_rs,303
038,Doboj,president_rs,600
038,Doboj,parliament_bih,522
