election_unit_ID,seats,race,compensatory_id,compensatory
301,13,parliament_rs,300,0
302,12,parliament_rs,300,0
303,10,parliament_rs,300,0
304,9,parliament_rs,300,0
305,11,parliament_rs,300,0
306,7,parliament_rs,300,0
511,3,parliament_bih,510,0
512,3,parliament_bih,510,0
513,4,parliament_bih,510,0
514,6,parliament_bih,510,0
515,5,parliament_bih,510,0
521,3,parliament_bih,520,0
522,3,parliament_bih,520,0
523,3,parliament_bih,520,0
401,9,parliament_fbih,400,0
402,5,parliament_fbih,400,0
403,7,parliament_fbih,400,0
404,4,parliament_fbih,400,0
405,8,parliament_fbih,400,0
406,4,parliament_fbih,400,0
407,6,parliament_fbih,400,0
408,9,parliament_fbih,400,0
409,8,parliament_fbih,400,0
410,3,parliament_fbih,400,0
411,7,parliament_fbih,400,0
412,3,parliament_fbih,400,0
201,30,kanton,\N,0
202,21,kanton,\N,0
203,35,kanton,\N,0
204,35,kanton,\N,0
205,25,kanton,\N,0
206,30,kanton,\N,0
207,30,kanton,\N,0
208,23,kanton,\N,0
209,35,kanton,\N,0
210,25,kanton,\N,0
300,21,parliament_rs,\N,1
510,5,parliament_bih,\N,1
520,7,parliament_bih,\N,1
400,25,parliament_fbih,\N,1
