Biračko mjesto:,municipality_ID,party,values
001A000,001,BPS - SEFER HALILOVIĆ,0
001A000,001,STRANKA ZA BOSNU I HERCEGOVINU,0
001A000,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0
001A000,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0
001A000,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0
001A000,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A000,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A000,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A000,001,SDA - STRANKA DEMOKRATSKE AKCIJE,0
001A000,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A000,001,NARODNA STRANKA RADOM ZA BOLJITAK,0
001A000,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,0
001A000,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0
001A000,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A000,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A000,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,0
001A000,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A000,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0
001A000,001,PARTIJA PRAVOG PUTA,0
001A000,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0
001A000,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0
001A000,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A001A,001,BPS - SEFER HALILOVIĆ,2
001A001A,001,STRANKA ZA BOSNU I HERCEGOVINU,6
001A001A,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,47
001A001A,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,2
001A001A,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,127
001A001A,001,DEMOKRATSKA STRANKA INVALIDA BIH,2
001A001A,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,3
001A001A,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A001A,001,SDA - STRANKA DEMOKRATSKE AKCIJE,31
001A001A,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A001A,001,NARODNA STRANKA RADOM ZA BOLJITAK,25
001A001A,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,2
001A001A,001,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,2
001A001A,001,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0
001A001A,001,STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE,0
001A001A,001,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,7
001A001A,001,STRANKA ZA NAROD BOSNE I HERCEGOVINE,0
001A001A,001,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,13
001A001A,001,PARTIJA PRAVOG PUTA,2
001A001A,001,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,4
001A001A,001,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,1
001A001A,001,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0
001A001B,001,BPS - SEFER HALILOVIĆ,0
001A001B,001,STRANKA ZA BOSNU I HERCEGOVINU,7
001A001B,001,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,38
001A001B,001,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0
001A001B,001,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,113
001A001B,001,DEMOKRATSKA STRANKA INVALIDA BIH,0
001A001B,001,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,0
001A001B,001,СОЦИЈАЛИСТИЧКА ПАРТИЈА,0
001A001B,001,SDA - STRANKA DEMOKRATSKE AKCIJE,29
001A001B,001,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0
001A001B,001,NARODNA STRANKA RADOM ZA BOLJITAK,12
001A001B,001,STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE,1
