Biračko mjesto:,municipality_ID,party,votes
006B000,006,STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B000,006,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B000,006,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,0.0
006B000,006,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,0.0
006B000,006,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B000,006,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
006B000,006,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B000,006,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,0.0
006B000,006,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,0.0
006B000,006,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B000,006,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,0.0
006B000,006,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
006B000,006,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,0.0
006B000,006,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
006B000,006,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B000,006,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,0.0
006B000,006,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B000,006,СРПСКА НАПРЕДНА СТРАНКА,0.0
006B000,006,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,0.0
006B000,006,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,0.0
006B000,006,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B000,006,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
006B001,006,STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B001,006,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B001,006,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,1.0
006B001,006,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,129.0
006B001,006,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B001,006,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
006B001,006,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B001,006,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,6.0
006B001,006,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,72.0
006B001,006,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B001,006,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,29.0
006B001,006,НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
006B001,006,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,2.0
006B001,006,ЕКОЛОШКА ПАРТИЈА РЕПУБЛИКЕ СРПСКЕ,0.0
006B001,006,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B001,006,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,1.0
006B001,006,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B001,006,СРПСКА НАПРЕДНА СТРАНКА,5.0
006B001,006,СОЦИЈАЛИСТИЧКА ПАРТИЈА И ПАРТИЈА УЈЕДИЊЕНИХ ПЕНЗИОНЕРА,0.0
006B001,006,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,1.0
006B001,006,HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B001,006,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
006B002,006,STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B002,006,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,1.0
006B002,006,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,15.0
006B002,006,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,58.0
006B002,006,HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B002,006,DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH,0.0
006B002,006,SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B002,006,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,2.0
006B002,006,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,63.0
006B002,006,NARODNA STRANKA RADOM ZA BOLJITAK,0.0
