Biračko mjesto:,municipality_ID,candidate,votes
006B000,006,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,0.0
006B000,006,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B000,006,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B000,006,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B000,006,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B000,006,KRNDELJ IVAN - HSS - NHI,0.0
006B000,006,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B000,006,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
006B000,006,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0.0
006B000,006,ЂУРЂЕВИЋ ДРАГАН - СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,0.0
006B000,006,HAMIDOVIĆ BESIM - STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,0.0
006B000,006,КАЛИНИЋ ДРАГАН - САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,0.0
006B000,006,NUKIĆ SADMIR - SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,0.0
006B000,006,МАТИЋ ГОРАН - МАТИЋ ГОРАН - НЕЗАВИСНИ КАНДИДАТ,0.0
006B000,006,ТАДИЋ ОГЊЕН - КОАЛИЦИJА ЗАJЕДНО ЗА СРПСКУ,0.0
006B000,006,ДОДИК МИЛОРАД - СНСД - ДНС - СП,0.0
006B000,006,MATIĆ ŽELJKO - HRVATSKA KOALICIJA HDZ 1990 - HSP BIH,0.0
006B000,006,SULEJMANOVIĆ BEGO - LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,0.0
006B000,006,KNEŽEVIĆ LJILJANA - KOALICIJA PREOKRET: GDS BIH I NEP BIH,0.0
006B001,006,DELIBAJRIĆ AGAN - BPS - SEFER HALILOVIĆ,0.0
006B001,006,MURSELOVIĆ MUHAREM - STRANKA ZA BOSNU I HERCEGOVINU,0.0
006B001,006,SULJKANOVIĆ ENES - SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,0.0
006B001,006,KAMENJAŠEVIĆ IVO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE,0.0
006B001,006,HAFIZOVIĆ ŠEVKET - SDA - STRANKA DEMOKRATSKE AKCIJE,0.0
006B001,006,KRNDELJ IVAN - HSS - NHI,0.0
006B001,006,МРГАН ДРАГАН - NARODNA STRANKA RADOM ZA BOLJITAK,0.0
006B001,006,ВЛАЈКИ ЕМИЛ - НАРОДНА ДЕМОКРАТСКА СТРАНКА,0.0
006B001,006,DRAGIČEVIĆ SLAVKO - SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,0.0
