election_unit_ID,election_type,year,polling_station_ID,municipality_ID,party,party_abrev,votes
523,parliament_bih,2010,POŠTOM,997,BPS - SEFER HALILOVIĆ,BPS,36
523,parliament_bih,2010,POŠTOM,997,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,514
523,parliament_bih,2010,POŠTOM,997,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,188
523,parliament_bih,2010,POŠTOM,997,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,СРСРС,2
523,parliament_bih,2010,POŠTOM,997,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,СДС,12
523,parliament_bih,2010,POŠTOM,997,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,2
523,parliament_bih,2010,POŠTOM,997,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,15
523,parliament_bih,2010,POŠTOM,997,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,0
523,parliament_bih,2010,POŠTOM,997,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,359
523,parliament_bih,2010,POŠTOM,997,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,ПДП,71
523,parliament_bih,2010,POŠTOM,997,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,2
523,parliament_bih,2010,POŠTOM,997,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,80
523,parliament_bih,2010,POŠTOM,997,НАРОДНА ДЕМОКРАТСКА СТРАНКА,ДНС,0
523,parliament_bih,2010,POŠTOM,997,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,1
523,parliament_bih,2010,POŠTOM,997,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,СРС ДрВШ,4
523,parliament_bih,2010,POŠTOM,997,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,20
523,parliament_bih,2010,POŠTOM,997,ТОМИЋ МИЛОШ - НЕЗАВИСНИ КАНДИДАТ,ТОМИЋ МИЛОШ - НЕЗАВИСНИ КАНДИДАТ,0
523,parliament_bih,2010,POŠTOM,997,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,СЗДС,1
523,parliament_bih,2010,POŠTOM,997,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,ДПДЧ,3
523,parliament_bih,2010,POŠTOM,997,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,218
523,parliament_bih,2010,POŠTOM,997,STRANKA KOKUZA - SKOK,SKOK,5
523,parliament_bih,2010,POŠTOM,997,СРПСКА НАПРЕДНА СТРАНКА,СНС,0
523,parliament_bih,2010,POŠTOM,997,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,70
523,parliament_bih,2010,POŠTOM,997,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,LDS-EES E-5,5
523,parliament_bih,2010,POŠTOM,997,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,2
523,parliament_bih,2010,ODUSTVO,998,BPS - SEFER HALILOVIĆ,BPS,92
523,parliament_bih,2010,ODUSTVO,998,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,639
523,parliament_bih,2010,ODUSTVO,998,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,323
523,parliament_bih,2010,ODUSTVO,998,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,СРСРС,15
523,parliament_bih,2010,ODUSTVO,998,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,СДС,303
523,parliament_bih,2010,ODUSTVO,998,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,4
523,parliament_bih,2010,ODUSTVO,998,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,60
523,parliament_bih,2010,ODUSTVO,998,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,13
523,parliament_bih,2010,ODUSTVO,998,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,2009
523,parliament_bih,2010,ODUSTVO,998,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,ПДП,66
523,parliament_bih,2010,ODUSTVO,998,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,13
523,parliament_bih,2010,ODUSTVO,998,САВЕЗ НЕЗАВИСНИХ СОЦИЈАЛДЕМОКРАТА - СНСД - МИЛОРАД ДОДИК,СНСД МД,470
523,parliament_bih,2010,ODUSTVO,998,НАРОДНА ДЕМОКРАТСКА СТРАНКА,ДНС,3
523,parliament_bih,2010,ODUSTVO,998,SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SDU BiH,6
523,parliament_bih,2010,ODUSTVO,998,СРПСКА РАДИКАЛНА СТРАНКА ДР ВОЈИСЛАВ ШЕШЕЉ,СРС ДрВШ,19
523,parliament_bih,2010,ODUSTVO,998,STRANKA DEMOKRATSKE AKTIVNOSTI A-sda,ASDA,60
523,parliament_bih,2010,ODUSTVO,998,ТОМИЋ МИЛОШ - НЕЗАВИСНИ КАНДИДАТ,ТОМИЋ МИЛОШ - НЕЗАВИСНИ КАНДИДАТ,0
523,parliament_bih,2010,ODUSTVO,998,САВЕЗ ЗА ДЕМОКРАТСКУ СРПСКУ,СЗДС,7
523,parliament_bih,2010,ODUSTVO,998,ДЕМОКРАТСКА ПАРТИЈА - ДРАГАН ЧАВИЋ,ДПДЧ,13
523,parliament_bih,2010,ODUSTVO,998,SAVEZ ZA BOLJU BUDUĆNOST BIH - SBB BIH FAHRUDIN RADONČIĆ,SBB BiH,414
523,parliament_bih,2010,ODUSTVO,998,STRANKA KOKUZA - SKOK,SKOK,22
523,parliament_bih,2010,ODUSTVO,998,СРПСКА НАПРЕДНА СТРАНКА,СНС,5
523,parliament_bih,2010,ODUSTVO,998,NAŠA STRANKA - NOVA SOCIJALISTIČKA PARTIJA ZDRAVKO KRSMANOVIĆ,NS - NSPZK,55
523,parliament_bih,2010,ODUSTVO,998,LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOŠKA STRANKA E-5,LDS-EES E-5,1
523,parliament_bih,2010,ODUSTVO,998,KOALICIJA PREOKRET: GDS BIH I NEP BIH,KP GDS BIH I NEP BIH,7
523,parliament_bih,2010,POTVRÐENI,999,BPS - SEFER HALILOVIĆ,BPS,0
523,parliament_bih,2010,POTVRÐENI,999,STRANKA ZA BOSNU I HERCEGOVINU,SZaBiH,2
523,parliament_bih,2010,POTVRÐENI,999,SDP - SOCIJALDEMOKRATSKA PARTIJA BIH,SDP BiH,2
523,parliament_bih,2010,POTVRÐENI,999,СРПСКА РАДИКАЛНА СТРАНКА РЕПУБЛИКЕ СРПСКЕ,СРСРС,0
523,parliament_bih,2010,POTVRÐENI,999,СДС - СРПСКА ДЕМОКРАТСКА СТРАНКА,СДС,19
523,parliament_bih,2010,POTVRÐENI,999,DEMOKRATSKA STRANKA INVALIDA BIH,DNI BiH,0
523,parliament_bih,2010,POTVRÐENI,999,BOSS - BOSANSKA STRANKA - MIRNES AJANOVIĆ,BOSS,0
523,parliament_bih,2010,POTVRÐENI,999,СОЦИЈАЛИСТИЧКА ПАРТИЈА,СП,1
523,parliament_bih,2010,POTVRÐENI,999,SDA - STRANKA DEMOKRATSKE AKCIJE,SDA,4
523,parliament_bih,2010,POTVRÐENI,999,ПДП - ПАРТИЈА ДЕМОКРАТСКОГ ПРОГРЕСА,ПДП,5
523,parliament_bih,2010,POTVRÐENI,999,ДНС - ДЕМОКРАТСКИ НАРОДНИ САВЕЗ,ДНС,1
